# icr-intercell gene name dictionary v0.2
#
# jamesc@icr.ac.uk, 13th May 2014
#
# This file is used as a dictionary to standardise gene names in different data sets
# Cell line names found in the first column (alias) should be converted to those
# given in the second column (gene_name).
#
# Gene name information was extracted from columns 4 and 7 in the file:
# 	ftp://ftp.ncbi.nlm.nih.gov/gene/DATA/GENE_INFO/Mammalia/Homo_sapiens.gene_info.gz
#
# This version contains 102615 alia for 47634 distinct gene names
#
# Changes: 
#   changed HGF\tSOS1 to HGF\tHGF
#	changed APC\tPROC to APC\APC
# need to address the issue of an official gene name being an alias for another gene...
#
#alias	gene_name
DDC8	TIMP2
MIR9-1	MIR9-1
CENP-W	CENPW
GST3	CHST4
DNAPTP3	DNAPTP3
HKR4	GLI4
LEP14	LCE3B
EP3	PTGER3
PRSS58	PRSS58
CSPG4P3	CSPG4P3Y
Fbx45	FBXO45
C12orf44	ATG101
CRYBA4	CRYBA4
C14orf19	IGBP1P1
C17orf69	CRHR1-IT1
ERp90	TXNDC16
p45-sErbB3	ERBB3
RPL19P10	RPL19P10
MIR6818	MIR6818
CD281	TLR1
SENP7	SENP7
LOC101927194	LOC101927194
CCDC181	CCDC181
TCRBV4S1	TRBV4-1
FAAP24	C19orf40
KIAA0355	KIAA0355
UDPG	UGP2
PSMC3IP	PSMC3IP
DLNB26	NLRX1
ZNF728	ZNF728
PCDHGA1	PCDHGA1
42C	S100A10
KIAA0317	AREL1
RPS6_9_1210	RPS6P1
LOC100507258	LOC100507258
BSAP	PAX5
PRINS	PRINS
H2BFIP	HIST1H2BPS2
LOC284244	LOC284244
U7.85	RNU7-85P
bA140A10.5	JAKMIP3
FKHL17	FOXD2
DYNC1H1	DYNC1H1
TEIF	SCYL1
DIP	DIP
GEF2	GABARAPL2
MYETS1	LECT1
DAP-1	DLGAP1
LOC101929690	LOC101929690
ICE(rel)II	CASP4
CRD-BP	IGF2BP1
IGHV4304	IGHV4-30-4
SETP18	SETSIP
DSCR1L2	RCAN3
LOC100506431	LOC100506431
LOC100418591	LOC100418591
XMPMA	FHL1
SEEEG-1	SLC43A3
NBR1	NBR1
LOC102724479	LOC102724479
HPS4	HPS4
C9orf173	C9orf173
RANP7	RANP7
CMCT	CANDF1
KRTAP19-6	KRTAP19-6
DRAM2	DRAM2
IGHVIII-67-4	IGHVIII-67-4
LOC100289479	LOC100289479
DFNB68	DFNB68
FSGS4	APOL1
BRD8	BRD8
hsa-mir-648	MIR648
TINAGRP	TINAGL1
OR8G2	OR8G2
Cish5	SOCS5
TCEB1P12	TCEB1P12
bQB10J12.1	DDR1-AS1
NAALADL2	NAALADL2
ELYS	AHCTF1
KIAA0892	MAU2
ZFP292	ZNF292
bA632C17A.1	RPL29P4
FNZ	FN1
CMM3	CDK4
AHCYL1	AHCYL1
hsa-mir-567	MIR567
p51NOX	NOXA1
FMT1	MTFMT
NCRNA00266C	LINC00266-3
ST1A3	SULT1A1
RPS17_7_1173	RPS17P15
MTTQ	TRNQ
LOC101929405	LOC101929405
WARBM1	RAB3GAP1
RA14	RA14
LOC102724949	LOC102724949
DPH6-AS1	DPH6-AS1
PLEKHM1P	PLEKHM1P
LACTB2	LACTB2
p5	EXOSC9
MIR514-3	MIR514A3
HB-954	GPR176
ASS1P5	ASS1P5
MIR5006	MIR5006
TNNC	TNNC1
CALN2	CABP7
SLC35E2	SLC35E2B
LOXL1	LOXL1
RARA-AS1	RARA-AS1
ALYREF	ALYREF
Smag-82	FGF5
PPD	VSX1
MRPS17P2	MRPS17P1
MRPS33P3	MRPS33P3
RHOPHILIN	RHPN1
MEGF10	MEGF10
LOC101927183	LOC101927183
HMGB3P19	HMGB3P19
c380A1.1	FBXL16
LOC101928611	LOC101928611
CENP-31	PHF6
FAM229A	FAM229A
MTND4P26	MTND4P26
KUB2	XRCC5
ACSF2	ACSF2
IL-20R2	IL20RB
RPL37_4_470	RPL37P14
KLRC1	KLRC1
LIM15	DMC1
ZNF731P	ZNF731P
LOC727947	LOC727947
GDF9	GDF9
IL1RL2	IL1RL2
L27A	RPL27A
GPR119	GPR119
LOC102725395	LOC102725395
KHDC2	OOEP
PBGS	ALAD
HCP11	CYCSP11
MIRN196A2	MIR196A2
ANX2L3	ANXA2P3
LIG2	LRIG2
HDHD2B	LHPP
IPCA-2	SLC45A3
EFHA1	MICU2
C14orf54	FAM71D
OR11-241	OR5B12
RNY4P4	RNY4P4
ACA22	SNORA22
C9orf126	SCAI
ZFP41	ZFP41
DNM1DN16@	DNM1P27
HEL1	SMARCAD1
KIAA0664P5	CLUHP5
LOC100131190	LOC100131190
MTCO2	COX2
CT11.2	SPANXB1
LNK	SH2B3
MIR485	MIR485
VGCNL1	NALCN
TIMM9P1	TIMM9P1
DEF8	DEF8
OR17-14	OR3A2
SCM-1	XCL1
CHED2	SLC4A11
CHAF1A	CHAF1A
DYT5	GCH1
PI5P4KA	PIP4K2A
RPL5P28	RPL5P28
KREMEN	KREMEN1
RPK118	RPS6KC1
ZFPM2	ZFPM2
CDCBM2	KIF5C
LOC101928207	LOC101928207
SEC34	COG3
IGKV230	IGKV2-30
H2AFG	HIST1H2AD
CBCP1	CCNY
BW10	BW10
PLEKHC2	FARP1
YWHAH	YWHAH
AGC1	SLC25A12
SNORD38B	SNORD38B
NY-CO-9	HDAC5
APT-B7	TLX1NB
NPRL2	NPRL2
IBTKP1	IBTKP1
DCML	GATA2
HPT-1	CDH17
GLT25D3	CERCAM
DEFAP3	DEFA11P
LOC101928437	LOC101928437
RPS29_9_646	RPS29P12
UMPS	UMPS
BCRP2	BCRP2
UCC1	EPDR1
MIR1197	MIR1197
OR51C4P	OR51C4P
RPL32_10_878	RPL32P19
hs6V1-1p	VN1R10P
SRMP2	SRMP2
EIF2AP3	EIF2AP3
CDHF12	RET
CLM-9	CD300LG
OR2H1	OR2H1
HNRNPA0	HNRNPA0
PCBP1	PCBP1
neur2	NEURL1B
CK-6B	KRT6B
RPS26P9	RPS26P9
LRRC2	LRRC2
NSD1	NSD1
XBR	REST
CD32	FCGR2C
LOC101927839	LOC101927839
RPS26P27	RPS26P27
H2	RLN2
TMEM179	TMEM179
RNF193	MEX3D
RPL13A_10_1231	RPL13AP21
CNDP2	CNDP2
CACNLB3	CACNB3
MFAT	AWAT2
DA5	PIEZO2
YPEL5	YPEL5
LRRC42	LRRC42
HEI-C	HAUS1
PBR	TSPO
104p	TUBGCP3
ZCCHC19	ZCRB1
LOC100128374	LOC100128374
KIR3DP1	KIR3DP1
LOC101929761	LOC101929761
OR4H9	OR4H6P
CT140	SPAG1
LOC283485	LOC283485
MSCCA	QARS
HOGA	OAT
WS2A	MITF
CNGA2	CNGA2
WBSCR15	LAT2
MIR614	MIR614
OR10AC1P	OR10AC1P
BZS	PTEN
bcm3415	PSMC1P1
NAIP	NAIP
SPATA12	SPATA12
CAPPA2	CAPZA2
DUTP8	DUTP8
N4BP4	UBQLN2
NET18	RBM47
NRAMP2	SLC11A2
OFD1P7Y	OFD1P7Y
RPO1-3	POLR1D
CHIP28	AQP1
SOM	GRHL3
HPRP8BP	SNRNP40
CDCD3	CMD1F
MXRA6	TNS1
C15orf1	BTBD1
BNF1	CHRDL2
MIG10	PGK1
RANBP2L1	RGPD8
D3S3192	PABPC1P10
LOC101927161	LOC101927161
hLuc7B1	LUC7L
LOC102725377	LOC102725377
VR20	CDH26
GATSL2	GATSL2
MIP-2b	CXCL3
MIR548AG1	MIR548AG1
RPS2P21	RPS2P21
SCARA1	MSR1
CDG2M	SLC35A2
c14_5148	C14orf23
EBR2A	LAMC2
MIR4717	MIR4717
DP8	DPP8
DGAT1	DGAT1
LOC101928766	LOC101928766
HASPIN	GSG2
CDGF13	DSG4
hRFT3	SLC52A2
CORO1C	CORO1C
HOX4A	HOXD3
PKBP1L	FKBP1B
RAD54B	RAD54B
HRCT1	HRCT1
LOC100996549	LOC100996549
CACYBPP2	CACYBPP2
EMC5	MMGT1
LOC100132249	LOC100132249
MIR3687	MIR3687
RhoGDI2	ARHGDIB
CDMP1	GDF5
NKAT8	KIR2DS4
DGCR5	DGCR5
PEN11B	BRSK2
ZNF442	ZNF442
dJ647M16.1	ANGPTL7
FBXO35	FBXW12
F2	F2
LOC100418906	LOC100418906
C10orf106	CDH23-AS1
FOXR1	FOXR1
LOC728989	LOC728989
FNEPPK	KRT16
hRasGRP1	RASGRP1
CHSY	CHSY1
SLC35E1P1	SLC35E1P1
PTK9P1	TWF1P1
LINC00229	LINC00229
TEG-42	NFX1
TRBF2	TERF2
LOC100420618	LOC100420618
PSMB3P	PSMB3P
B230215M10Rik	YEATS4
P450C2A	CYP2A6
KTCN3	KTCN3
RASAL3	RASAL3
ZFHEP	ZEB1
MOB4A	MOB1B
BHLHB2	BHLHE40
KBL	GCAT
GALNR2	GALR2
LOC102724621	LOC102724621
TRNAV32	TRNAV32
HMGPI	UBTFL1
DND1	DND1
CEP4L	TSGA10
NY-BR-1	ANKRD30A
DYT11	SGCE
5-LO	ALOX5
GAS8	GAS8
LOC100418637	LOC100418637
LOC100127981	LOC100127981
fSAP47	RBM22
GLCUATP	B3GAT1
INCA1	INCA1
WNK4	WNK4
GAD2	GAD2
ZNF31	ZSCAN20
ERR3	ESRRG
LOC284072	LOC284072
NALP13	NLRP13
IGHV167	IGHV1-67
BW64	BW64
NOL11	NOL11
PSMD2	PSMD2
RRAS	RRAS
PPP1R32	PPP1R32
C19orf81	C19orf81
LOC283861	LOC283861
PCDH15	PCDH15
LOC100287357	LOC100287357
MLC3SM	MYL6
SCYA15	CCL15
RBM	RBMY2DP
SPBP	TCF20
LOC101927490	LOC101927490
FAM90A25P	FAM90A25P
SAR1P3	SAR1AP3
TRNAM12	TRNAM12
FAP20	VPS25
p53BP2-like	PPP1R13B
C9orf48	KIF24
LOC649352	LOC649352
TARBP2P	TARBP2P
TUTase	TUT1
Rpn7	PSMD6
KCTD17	KCTD17
TETRASPAN	TSPAN4
ZSCAN40	ZKSCAN8
GOT2P5	GOT2P5
GIGYF2	GIGYF2
GALA	GLA
LOC102724700	LOC102724700
FAM90A26	FAM90A26
FAM86D	FAM86DP
CALB2	CALB2
HOXHB9	MNX1
MSP	LMLN
CEBPZ	CEBPZ
LOC100509072	LOC100509072
FMOD	FMOD
CLN6	CLN6
NKX6B	NKX6-2
BT3.2	BTN3A2
TCP110	ILF3
RETL1	GFRA1
UCP	UCP1
FGF-2	FGF2
SH2D3C	SH2D3C
PTPN14	PTPN14
LOC101927085	LOC101927085
PIC1	SUMO1
DEFCAP-L/S	NLRP1
P36	ANXA2
NFATC3	NFATC3
C9orf10	FAM120A
qkf	KAT6B
ARS2	SRRT
NAG-7	LINC00312
mir-211	MIR211
SAYSD1	SAYSD1
DINE	ECEL1
RPL32P28	RPL32P28
KLK12	KLK12
IPS	ISYNA1
CCC6	SLC12A9
PCDH11X	PCDH11X
ZNF354A	ZNF354A
NBR	ARHGEF16
DMGDH	DMGDH
GOLGA6L5P	GOLGA6L5P
LOC100505592	LOC100505592
CPB1	CPB1
FLB7527	NASP
LOC100289004	LOC100289004
RPS3AP23	RPS3AP23
IGLV10-67	IGLV10-67
DEP.5	DEPDC5
VDBP	GC
PAK1IP1	PAK1IP1
OR10H1	OR10H1
PITPNM2	PITPNM2
MIRN196A1	MIR196A1
Kv7.1	KCNQ1
ZXDC	ZXDC
TGFB1	TGFB1
PPIAL4	PPIAL4B
RPL18AP13	RPL18AP13
LOC100128505	LOC100128505
RNA5SP304	RNA5SP304
PCDHB13	PCDHB13
LOC402229	LOC402229
CG7943	SLC25A51
TOPK	PBK
TCRAV31S1	TRAV31
C10orf28	R3HCC1L
RPL7P25	RPL7P25
RNA5SP331	RNA5SP331
C1orf131	C1orf131
hs6M1-21	OR5V1
PLC-beta-2	PLCB2
TRIM60P3	TRIM60P3Y
EXT3	EXT3
CAGLP	CALML6
GALNACT9	GALNT9
PCDHA7	PCDHA7
RBBP4P	RBBP4P1
lama3a	LAMA3
LOC644285	LOC644285
KAP20.3	KRTAP20-3
RN5S273	RNA5SP273
LOC102725235	LOC102725235
RPL22P12	RPL22P12
HNRNPKP4	HNRNPKP4
YES1	YES1
NSRD9	OTOF
PPP1R3F	PPP1R3F
EIF3S6IP	EIF3L
TRNAQ-UUG	TRNAQ-UUG
MIRN921	MIR921
RN5S232	RNA5SP232
PRNT	PRNT
SNORD115-33	SNORD115-33
MIRN578	MIR578
RNF218	MUL1
OR4C1	OR4C1P
MIR3923	MIR3923
TCRBV33S2	TRBVAOR9-2
RIR1	RRM1
K33A	KRT33A
RNU7-13P	RNU7-13P
U49	SNORD49A
KRP	MYLK
MIR320E	MIR320E
TREML2	TREML2
LOC101926910	LOC101926910
RPS2_24_1542	RPS2P49
RNU7-38P	RNU7-38P
FAM104A	FAM104A
SNX29	SNX29
JMC8	CACNA1F
RPS2P6	RPS2P6
ARGLU1	ARGLU1
RPS29_3_802	RPS29P14
EFSEC	EEFSEC
HMGN2L3	HMGN2P3
LOC100128644	LOC100128644
TF1B	TRIM28
NET62	MCAT
RTE1	RTE1
IGFBP5	IGFBP5
ARHA	RHOA
LOC102725271	LOC102725271
MTTS1	TRNS1
IGKV	IGKV1-5
DFNA13	COL11A2
IP3R1	ITPR1
FAM85B	FAM85B
CMD1EE	MYH6
CAB29	CALB2
LOC101927809	LOC101927809
PRO4979	FNDC3B
WFS2	CISD2
RN5S105	RNA5SP105
NPIPA3	NPIPA3
BMP10	BMP10
TCRBV20S2	TRBV20OR9-2
RRAGAP1	RRAGAP1
MIR3661	MIR3661
CJMG	SLC16A12
NY-BR-85	SGOL1
RPL18A_10_1821	RPL18AP16
CARD3	RIPK2
WI	DFNB31
FcERI	FCER1A
PTGER4	PTGER4
miR-25	MIR25
TCL3	TLX1
FLOPED	OOEP
SPA	SFTPA1
BCL2A1	BCL2A1
RPL27AP7	RPL27AP7
MUC18	MCAM
SCYA26	CCL26
TCC52	DCAF12
SMDF	NRG1
LOC100421093	LOC100421093
CYP3A51P	CYP3A51P
SCYA6	CCL7
CT11.9	SPANXN4
LOC100419436	LOC100419436
HYDINP1	HYDIN2
LOC101929058	LOC101929058
C20orf87	DEFB129
NCRNA00127	TTTY6
KIAA0114	DANCR
KRTAP5P1	KRTAP5-13P
SEPHS1P	SEPHS1P1
LOC101060149	LOC101060149
PTPNS1L2	SIRPD
LINC00379	LINC00379
LINC00402	LINC00402
LLT1	CLEC2D
HCVP7TP3	TMEM50B
LOC101929031	LOC101929031
VWC2L	VWC2L
GNG3LG	BSCL2
LOC100130936	LOC100130936
H2B.1	HIST2H2BE
PSMD10P2	PSMD10P2
GLI	GLI1
LOC100506655	LOC100506655
RAB3IP3	RIMS2
TM30nm	TPM3
C9orf116	C9orf116
CENTD1	ARAP2
RPL6P7	RPL6P7
PHAPII	SET
RWDD2B	RWDD2B
LAMR1P7	RPSAP7
UAGT	DPAGT1
RPLP1P5	RPLP1P5
D-TMPP	ANO7
NPAS2	NPAS2
C10orf66	CUEDC2
ATP5LP2	ATP5LP2
U1.64	RNU1-16P
MDDGC5	FKRP
CT147	C15orf60
GIRDIN	CCDC88A
TAL-H	TALDO1P1
LOC101060104	LOC101060104
LOC646797	LOC646797
CAN	NUP214
CTR9	CTR9
c14_5314	ABHD12B
MIR4730	MIR4730
CCDC107	CCDC107
HCNT2	SLC28A2
PTTG1IP	PTTG1IP
RPL26_9_1063	RPL26P6
OR4X2	OR4X2
TTTY2	TTTY2
COL9A1	COL9A1
EST1C	SMG7
PGPI	PGPEP1
RNU100	SNORD80
TMEM178B	TMEM178B
HHCMA56	WWOX
EPIPROFIN	SP6
ZNF348	ZBTB33
NALP3	NLRP3
CPS1IT	CPS1-IT1
TICAM-1	TICAM1
TTC40	TTC40
ARHGAP32	ARHGAP32
hsa-mir-6875	MIR6875
HBLP1	TBC1D8
MRPS10	MRPS10
LOC100128281	LOC100128281
LOC401286	LOC401286
TRPM7	TRPM7
dJ1028D15.2	RPL27AP
CD66D	CEACAM3
MATH-1	ATOH1
TRNAE21	TRNAE21
RHPI	RHCE
PLDC	PLD5
TRNAL4	TRNAL4
DGAT2L1	MOGAT1
PDIA2	PDIA2
ENFL5	KCNT1
CDFE	CNTNAP2
IP6K2	IP6K2
MIR302C	MIR302C
RPL35A_12_1042	RPL35AP24
ANKUB1	ANKUB1
C1orf22	EDEM3
EBI3	EBI3
VSTM2B	VSTM2B
FALP	MRAP
PR53	PPP2R4
LOC101930301	LOC101930301
MIR4634	MIR4634
NKSF2	IL12B
Visc-1b	LINC00461
PTC7	TRIM33
HK4	KCNA2
FAM200A	FAM200A
ZMYND19	ZMYND19
FOXJ3	FOXJ3
LOC102725254	LOC102725254
ZIC5	ZIC5
KIAA0415	AP5Z1
GCCR	NR3C1
HEL-S-273	TPM2
OR11-216	OR9G4
PPIAP	PPIAP1
TSPAN12	TSPAN12
ESRL2	ESRRB
THBS-1	THBS1
RPS17P3	RPS17P3
RALGAPB	RALGAPB
LOC101929167	LOC101929167
ECE	ECE1
BMS1P10	BMS1P10
NASG	BPIFA1
IGHVII-15-1	IGHVII-15-1
HIF-1A	HIF1A
KRTAP18-3	KRTAP10-3
GTT1	STARD7
DEL1P36	DEL1P36
SFA1	CD151
DIH2	DIH2
TAS2R36	TAS2R36
miRNA1-2	MIR1-2
HCG22	HCG22
OGC	SLC25A11
SCN5	VPS45
NAMPT	NAMPT
PCNXL4	PCNXL4
ZIP5	SLC39A5
MIR4758	MIR4758
A28	IGKV2-19
CYP4F22	CYP4F22
TAS2R5	TAS2R5
PRKRIRP10	PRKRIRP10
LOC100128601	LOC100128601
LOC643168	LOC643168
MUSTQTL1	MUSTQTL1
STK36	STK36
RPL21_45_1243	RPL21P104
RBB	NACC2
bA420G6.2	WRNIP1
U32A	SNORD32A
LOC102725041	LOC102725041
LOC391048	LOC391048
dJ734P14.5	ZNF343
MIRN939	MIR939
MATS1	MOB1A
CRH	CRH
Mar4	ZCCHC16
SHN2	HIVEP2
RAD502	RAD50
BMP-11	GDF11
C1orf182	TSACC
CD358	TNFRSF21
MTABC2	ABCB10
hSMG5/7a	SMG6
PHC	SLC25A3
PLC	HSPG2
MPHOSPH10	MPHOSPH10
LOC100289320	LOC100289320
UNQ473	CXCL17
hs6M1-31P	OR2B7P
LOC101928906	LOC101928906
STM6	ARHGEF4
LOC102725079	LOC102725079
HMSNII	KIF1B
TRAP150	THRAP3
NCRNA00186	MACROD2-AS1
DKK3	DKK3
OR1-13	OR10X1
Cos8	ZNF72P
OR1L7	OR1L6
TNRC4	CELF3
HLAA	HLA-A
LOC100420571	LOC100420571
TNRC6A	TNRC6A
ABP125	SEC31A
RCHY1	RCHY1
LOC613266	LOC613266
LOC100507291	LOC100507291
MIR518F	MIR518F
TRNAR12	TRNAR12
ISCA1P5	ISCA1P5
MRPL50P3	MRPL50P3
HEL-S-2a	PRDX2
PPP1R2P1	PPP1R2P1
MIR1302-6	MIR1302-6
LVRN	AQPEP
TF2F2	GTF2F2
SPOP	SPOP
BCL11A-S	BCL11A
RYR-1	RYR1
trnD	trnD
DGS-A	DGCR9
FCRI	FCGR1A
SUSD3	SUSD3
THOC4	ALYREF
CLP46	POGLUT1
SNORD39	SNORD55
SLIT-1	SLIT1
SPICE	SPICE1
IOP1	NARFL
PIP4K2A	PIP4K2A
MEX3A	MEX3A
RPS24P7	RPS24P7
PFD6L	CCDC30
CGRP-I	CALCA
TFAP4	TFAP4
LOC102724974	LOC102724974
Freud-1/Aki1	CC2D1A
KV4.3	KCND3
SAF-2	MAZ
KCNJ13-PEN	KCNJ10
RAIG1	GPRC5A
CXorf41	PIH1D3
cGKI	PRKG1
ENGL-a	EXOG
HMGN1P34	HMGN1P34
LOC102723418	LOC102723418
LS2	SERPIND1
GCSAML	GCSAML
GLMN	GLMN
SIPP1	WBP11
HSY11339	ST6GALNAC1
Sph1	SNCAIP
DCLRE1A	DCLRE1A
LOC644160	LOC644160
OB10Q	BMIQ10
SAMD11	SAMD11
ARHGEF28	ARHGEF28
VUR6	VUR6
TLR7	TLR7
ACTRT2	ACTRT2
PIP5Kgamma	PIP5K1C
NEK4P1	NEK4P1
HBII-276HG	SNHG6
TAFI41	TAF1D
PDLIM4	PDLIM4
LOC101928115	LOC101928115
SLC22A15	SLC22A15
NAAA	NAAA
PRSS14	ST14
ABHD13	ABHD13
CYP4AH1	CYP4V2
STX18	STX18
JP	TRGJP
OSF-4	CDH11
LOC102723779	LOC102723779
LOC100289143	LOC100289143
NOLA3	NOP10
TRDMT1	TRDMT1
HIST2H4B	HIST2H4B
FAM41AY	FAM41AY1
HMGB1P34	HMGB1P34
ZMYND14	SMYD2
RPL36P15	RPL36P15
BAF57	SMARCE1
ZNF753	ZFP41
RBP2	RIMBP2
AAP-S	NPEPPS
RPL37_2_245	RPL37P10
ATFB12	ABCC9
KABE	CTXN3
MUCL1	MUCL1
pp14328	WHSC1L1
DRIM	UTP20
G6c	LY6G6C
LOC101060161	LOC101060161
SPAX6	SACS
SLEB4	SLEB4
HECTH2	UBE3C
hCD48	CD48
C20orf183	ZBP1
C20orf55	FAM110A
NBL4	EPB41L4A
HEL-S-130P	CTSD
ANKRD60	ANKRD60
ZnT-10	SLC30A10
1-AGPAT4	AGPAT4
RTA1C	ATP6V0A4
EDG-1	S1PR1
C8orf57	MMP16
HNF4a8	HNF4A
OR9K1P	OR9K1P
H-CAD	CALD1
LOC101927229	LOC101927229
COL28	COL28A1
DFNB81	DFNB81
LOC100131355	LOC100131355
hKIAA1049	TCF25
LOC100996419	LOC100996419
LOC100418691	LOC100418691
ZNF880	ZNF880
NEK8	NEK8
MIRN509-3	MIR509-3
NOX5	NOX5
LMW-DSP2	DUSP22
CESC1	SYCE2
LOC728743	LOC728743
LOC146481	LOC146481
EP2D	SPAG11B
OR51F4P	OR51F4P
LOC102724932	LOC102724932
LINC01126	LINC01126
hsa-mir-933	MIR933
ELOVL2	ELOVL2
FAM47E-STBD1	FAM47E-STBD1
LOC101928627	LOC101928627
PRP4H	PRPF4B
Fib2	FGA
ESCO1	ESCO1
MRT13	TRAPPC9
C10orf102	GLUD1P3
MFM3	MYOT
C16orf19	WDR90
MTAP	MTAP
LINC00563	LINC00563
hsa-mir-543	MIR543
D11S812E	PAX6
CRIPAK	CRIPAK
FAM22E	NUTM2E
NO145	SYCP2L
GRP94P1	HSP90B2P
IREM-1	CD300LF
TCRBV23S1A2T	TRBV13
MIR3161	MIR3161
CI-B18	NDUFB7
DUP9q21.11	TJP2
PATL2	PATL2
PTP4A	PTP4A2
HMGB3P21	HMGB3P21
NNE	ENO1
RASL11B	RASL11B
IRK1	KCNJ2
MIR5591	MIR5591
ARSG	ARSG
NCRNA00264	LINC00264
ZNF483	ZNF483
NFKB-p105	NFKB1
CHN2-3	CHN2
mimitin	NDUFAF2
TGC3B	TEX13B
S100A2	S100A2
LOC100421490	LOC100421490
LINC00123	TTTY4
RPL17_3_82	RPL17P7
C2	HNRNPC
CD154	CD40LG
ZSCAN19	ZNF449
FER	FER
EST2	TERT
INT1	INTS1
gp250	SORL1
OR6C75	OR6C75
TCRBV6S9P	TRBV7-5
MFTL	RPS3A
ATF4P	ATF4P1
LOC101927272	LOC101927272
LOC101930125	LOC101930125
HEL-S-106	LAP3
TERT	TERT
LOC101928303	LOC101928303
LOC728463	LOC728463
SLI2	SLI2
KCMF1	KCMF1
eIF5AII	EIF5A2
DFNB1B	GJB6
CD177P	CD177P1
BLZF2P	BLZF2P
A2MRAP	LRPAP1
LMCD1DN	LINC00312
LOC100506834	LOC100506834
MIR4539	MIR4539
MRD18	GATAD2B
MEX67	NXF1
LOC101927008	LOC101927008
FHOS	FHOD1
beta4Gal-T3	B4GALT3
RPS26P13	RPS26P13
SETP3	SETP3
CXorf27	CXorf27
TDRD9-AS1	RD3L
NPLOC4	NPLOC4
dJ1057D4.1	SRMP1
CYCSP7	CYCSP7
PJA1	PJA1
IGHV373	IGHV3-73
ICIL-1RA	IL1RN
LOC100421965	LOC100421965
MED28P8	MED28P8
C4orf51	C4orf51
GGTLA3	GGTLC1
PANK	PANK1
GUCY2F	GUCY2F
ARTD2	PARP2
ERLIN1	ERLIN1
CENP-Q	CENPQ
MIRN655	MIR655
PRAMEF24P	PRAMENP
HIST1H2BK	HIST1H2BK
TP53I11	TP53I11
RHBDL	RHBDL1
TMEM200B	TMEM200B
RPL39_9_712	RPL39P3
VASN	VASN
MYST4	KAT6B
C9orf97	TSTD2
LUC7B2	LUC7L2
EVI2	EVI2A
RPL13A_5_919	RPL13AP18
PGY1	ABCB1
KIRX	KIR3DP1
LOC101927431	LOC101927431
MAGE5	MAGEA5
CIP4	TRIP10
TESSP6	PRSS46
RPL7L1P9	RPL7L1P9
DJ328E19.C1.1	NBPF14
DNM1P17	DNM1P17
OR4C2P	OR4C2P
LINC00331	LINC00331
ZNF169	ZNF169
KRT7	KRT7
DLGAP5	DLGAP5
LOC101929651	LOC101929651
LOC100128759	LOC100128759
RPL26_5_860	RPL26P22
RPL21_3_36	RPL21P20
GPR158-AS1	GPR158-AS1
PHF5DP	PHF5DP
IQCF3	IQCF3
FGF16	FGF16
OCTS2	SLC9A3R2
RDH14	RDH14
CBARA1	MICU1
SCA-1	CASP3
HBII-85-16	SNORD116-16
MLL5	KMT2E
VN1R100P	VN1R100P
DXS399E	XIST
FLJ44796	FLJ44796
OR3-8	OR5K1
STX10	STX10
RPL12P30	RPL12P30
TRAJ40	TRAJ40
NCRNA00276	LINC00276
WFIKKN	WFIKKN1
JMJD2D	KDM4D
HNP	KLK8
C5orf60	C5orf60
FECD6	ZEB1
P4HA1	P4HA1
DFNB18A	USH1C
PTDSR1	JMJD6
BBS2L1	BBS7
CAXiV	CA14
hsa-mir-6857	MIR6857
BW70	BW70
HEMK	HEMK1
MIR580	MIR580
TRAV10	TRAV10
DLEU8	RNASEH2B
LOC102724891	LOC102724891
LOC102723987	LOC102723987
cIAP1	BIRC2
LOC100421308	LOC100421308
MIRN548H3	MIR548H3
GLCATI	B3GAT3
ZGRF6	TTF2
LOC100419851	LOC100419851
SITPEC	ECSIT
LOC101927306	LOC101927306
HNRNPA1P35	HNRNPA1P35
AADC	DDC
LOC102725131	LOC102725131
OKSWcl45	DDOST
BTNL2	BTNL2
LOC102723610	LOC102723610
RIPE3b1	MAFA
bA417O11.3	C10orf55
RH	RHD
ARAF1	ARAF
S100A7L3	S100A7P1
NAV3	NAV3
AREBP	ZNF692
EPS8L2	EPS8L2
MIRN181A2	MIR181A2
MNT	MNT
LARC	CCL20
OR18-44	OR5D2P
SNORA45A	SNORA45A
PB99	GPR97
TAS2R18P	TAS2R18P
ASSP13	ASS1P13
Ge-1	EDC4
MCR	NR3C2
S1P2	S1PR2
CX62	GJA10
PPIAP16	PPIAP16
MIR1203	MIR1203
LOC100128288	LOC100128288
SNHG19	SNHG19
PAXBP1	PAXBP1
TRGV2	TRGV2
SETD1A	SETD1A
FKBP4P1	FKBP4P1
RPS19_2_563	RPS19P4
MIR184	MIR184
HOXA-AS2	HOXA-AS2
LAMB2	LMNB2
CELIAC3	CTLA4
hsa-mir-6717	MIR6717
MAGED4	MAGED4
LOC102725220	LOC102725220
P140SRA-1	CYFIP1
MIRN410	MIR410
IKKE	IKBKE
PRO1291	VTCN1
B56D	PPP2R5D
HCCS-1	ST20
ePABP2	PABPN1L
SCDR10	HSD11B1L
VIT1	FBXO11
LINC01232	LINC01232
TMPOP1	TMPOP1
PMS2P12	PMS2P12
LINC00479	LINC00479
ZNF469	ZNF469
BP55	BP55
ETAA16	ETAA1
OPTB7	TNFRSF11A
LOC100288162	LOC100288162
CMT2I	MPZ
BIG-2	CNTN4
FBWD4	FBXW4
BCR1	BCR
DAPK	DAPK1
ARRDC5	ARRDC5
LOC100506901	LOC100506901
